name,value,iso
Singapore,24.5,SGP
Afghanistan,27.7,AFG
Bangladesh,6.3,BGD
Cambodia,16.3,KHM
China,21.3,CHN
India,9.1,IND
Indonesia,11.6,IDN
Iran,2.8,IRN
Iraq,25.5,IRQ
Japan,9.4,JPN
Malaysia,10.8,MYS
Nepal,33.2,NPL
Pakistan,22.5,PAK
Philippines,20.5,PHL
Saudi Arabia,0,SAU
Vietnam,25.8,VNM
Mongolia,4.2,MNG
Angola,37.3,AGO
Niger,12.4,NER
Libya,7.7,LBY
Morocco,10.5,MAR
Nigeria,7,NGA
Algeria,7.7,DZA
Yemen,0.3,YEM
Oman,2.4,OMN
Russia,14,RUS
Poland,20.2,POL
France,18.2,FRA
Spain,36.3,ESP
Portugal,28.3,PRT
Italy,21.3,ITA
Thailand,11.7,THA
Turkmenistan,16.8,TKM
Uzbekistan,17.5,UZB
Kazakhstan,15.9,KAZ
Sudan,18.1,SDN
Chad,5.2,TCD
Central African Republic,10.5,CAF
Democratic Republic of the Congo,8.4,COD
Zambia,15.2,ZMB
Mali,10.2,MLI
Mauritania,8.9,MRT
Ethiopia,21.9,ETH
Somalia,8.2,SOM
Kenya,9.8,KEN
Tanzania,30.4,TZA
Namibia,26.9,NAM
Canada,22.1,CAN
United States,17,USA
Mexico,23.2,MEX
Cuba,43.2,CUB
Venezuela,18.6,VEN
Guatemala,12,GTM
Colombia,8.4,COL
Peru,29.2,PER
Chile,15,CHL
Paraguay,12.5,PRY
Uruguay,12.1,URY